id,address,pname,cityname,type,adname,name,location,lng,lat,rank
B0FFHTYBQQ,雄楚大道938号,湖北省,武汉市,购物服务;商场;普通商场|商务住宅;楼宇;商住两用楼宇,Hongshan,洪福添美广场,"114.398645,30.497479",114.398645,30.497479,3
B0FFH1VC4B,康美路附近,湖北省,武汉市,购物服务;商场;普通商场,Qingshan,丽红购物广场,"114.48592,30.606942",114.48592,30.606942,2
B001B09DU2,前进一路特6号(六渡桥地铁站C1口步行140米),湖北省,武汉市,购物服务;商场;普通商场,Jianghan,时代美博城,"114.284057,30.576228",114.284057,30.576228,2
B0HKOZEJ94,和平大道与九医院路交叉口西100米,湖北省,武汉市,购物服务;专卖店;礼品饰品店|购物服务;商场;普通商场|商务住宅;楼宇;商务写字楼,Qingshan,武商城市奥莱B馆,"114.377346,30.626348",114.377346,30.626348,1
B0IRZ77J73,金地广场(园林路地铁站E口步行440米),湖北省,武汉市,购物服务;商场;购物中心,Hongshan,永旺,"114.383567,30.603205",114.383567,30.603205,1
B0IGVA1TYT,白沙四路与长征三路交叉口西20米,湖北省,武汉市,购物服务;商场;普通商场|商务住宅;住宅区;住宅小区,Hongshan,金色城市,"114.261711,30.483655",114.261711,30.483655,2
B0FFJZ7C6R,盘龙城经济开发区盘龙城,湖北省,武汉市,购物服务;商场;普通商场,Huangpi,名流城市广场,"114.274922,30.70914",114.274922,30.70914,2
B001B171HQ,后湖大道与建设大道延长线交汇处(同安家园旁),湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,汉口城市广场SOHO,"114.306253,30.651889",114.306253,30.651889,1
B0HGFS4M4L,武珞路628号(宝通寺地铁站B口步行130米),湖北省,武汉市,购物服务;商场;购物中心|商务住宅;楼宇;商务写字楼,Wuchang,武商亚贸广场,"114.342759,30.529261",114.342759,30.529261,2
B0FFG78ZR6,卓尔总部基地,湖北省,武汉市,购物服务;商场;购物中心,Huangpi,中城时代百尚购物广场,"114.287993,30.702516",114.287993,30.702516,3
B0G055L5BA,常青花园地铁站B1口步行360米,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,武商超市(常青花园店),"114.239008,30.63949",114.239008,30.63949,2
B0HBOHM3H8,腾龙大道西50米,湖北省,武汉市,购物服务;商场;普通商场,Huangpi,奥莱之星城市广场,"114.255408,30.729530",114.255408,30.72953,1
B0FFINC82M,环湖中路43号,湖北省,武汉市,购物服务;商场;普通商场|购物服务;商场;购物中心,Dongxihu,恒大城市广场,"114.171791,30.661503",114.171791,30.661503,3
B0FFH3QH6B,常青路168中百仓储3楼,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Jianghan,中百工贸电器(常青店),"114.240059,30.625536",114.240059,30.625536,3
B0HB2UWPWL,沿河大道68号,湖北省,武汉市,购物服务;商场;普通商场|购物服务;综合市场;综合市场,Jianghan,万商白马服装交易中心市场,"114.285436,30.567575",114.285436,30.567575,3
B0FFHQ70S2,后湖大道汉口城市广场购物中心,湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,汉口城市广场D区,"114.309355,30.652832",114.309355,30.652832,1
B001B16C6H,青王路99号(厂前地铁站C口步行360米),湖北省,武汉市,购物服务;商场;购物中心,Qingshan,丽红购物广场(站前路店),"114.437905,30.609991",114.437905,30.609991,3
B0FFLFO5NP,后湖大道与温馨路交叉口西80米,湖北省,武汉市,购物服务;商场;普通商场|购物服务;商场;购物中心|购物服务;超级市场;超市,Jiang'an,汉口城市广场E区,"114.31073,30.653357",114.31073,30.653357,1
B001B1CP2R,姑嫂树路12号(姑嫂树路和兴业路交叉口),湖北省,武汉市,购物服务;商场;普通商场,Jianghan,南国北都城市广场,"114.266346,30.627198",114.266346,30.627198,2
B0H3J75QYJ,春晓路永旺梦乐城(武汉经开店),湖北省,武汉市,购物服务;商场;购物中心,Hanyang,永旺超市(春晓路店),"114.204757,30.502320",114.204757,30.50232,1
B0FFG4LLIB,建桥街道钟家村地铁站B出口,湖北省,武汉市,购物服务;商场;普通商场|购物服务;商场;购物中心,Hanyang,汉商银座知音站台,"114.265632,30.548998",114.265632,30.548998,1
B0FFGLOQFF,珞喻路456号,湖北省,武汉市,购物服务;商场;购物中心|购物服务;超级市场;超市,Hongshan,中商超市(光谷店),"114.430557,30.505530",114.430557,30.50553,2
B001B16S07,盘龙城经济开发区盘龙城,湖北省,武汉市,购物服务;商场;购物中心,Huangpi,名流城市商业广场,"114.274916,30.709126",114.274916,30.709126,2
B0FFFFYC0M,武滨路154号,湖北省,武汉市,购物服务;商场;普通商场|购物服务;综合市场;水产海鲜市场,Xinzhou,华商平价广场(仓埠店),"114.602801,30.832969",114.602801,30.832969,2
B0FFFQ2OQP,金银潭大道1号武汉永旺梦乐城2F层234,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Dongxihu,工贸家电(永旺梦乐城金银潭店),"114.236741,30.650248",114.236741,30.650248,2
B0HBO7M60K,长嘉路太平洋农贸市场,湖北省,武汉市,购物服务;商场;普通商场,Qiaokou,长嘉百货批发城,"114.212206,30.594666",114.212206,30.594666,3
B0FFIJ2DQQ,金银湖街道金银湖路9号,湖北省,武汉市,购物服务;商场;普通商场,Dongxihu,金盛金银湖广场,"114.202625,30.631857",114.202625,30.631857,1
B0FFGFR741,后湖大道(后湖大道地铁站N口步行60米),湖北省,武汉市,购物服务;商场;购物中心,Jiang'an,汉口城市广场C区,"114.307188,30.652279",114.307188,30.652279,1
B0FFGZNRWE,民族大道和雄楚大道交叉口添美广场1层,湖北省,武汉市,购物服务;家电电子卖场;综合家电商场,Hongshan,中百工贸电器(城市广场店),"114.399430,30.497551",114.39943,30.497551,2
