id,address,pname,cityname,type,adname,name,location,lng,lat
B0FFL5IPBY,泰安路15号古玩交流中心,湖北省,襄阳市,科教文化服务;博物馆;博物馆,樊城区,聚雅堂民俗文化馆,"112.151260,32.051506",112.15126,32.051506
B0HKA5L1Q5,襄城南街谯楼,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,贞元博物馆,"112.155153,32.012662",112.155153,32.012662
B0FFLJGWBI,湖北文理学院理工学院尹集东街8号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,襄城区,森心话(情感树洞),"112.083010,31.946159",112.08301,31.946159
B0FFK73ROT,城东大道29号湖北真真生物科技有限公司内,湖北省,襄阳市,科教文化服务;博物馆;博物馆,老河口市,酱醋博物馆,"111.693100,32.356332",111.6931,32.356332
B0FFFDMQH7,宜城大道9号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,宜城市,宜城博物馆,"112.260616,31.720886",112.260616,31.720886
B0FFFGZHQ6,马桥镇尧治河村,湖北省,襄阳市,科教文化服务;博物馆;博物馆,保康县,中国磷矿博物馆,"110.806729,31.843951",110.806729,31.843951
B0FFKHEHIR,经济开业区名泰大道6号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,南漳县,楚国桑蚕丝绸博物馆,"111.904567,31.800284",111.904567,31.800284
B0G237EFPR,老丹路与洪山路交叉口东北380米,湖北省,襄阳市,科教文化服务;博物馆;博物馆,老河口市,汉江奇石博物馆,"111.692407,32.420891",111.692407,32.420891
B0HD6SBPAK,328国道(孟土路)竹林桥镇温岗村孟沟桥头,湖北省,襄阳市,科教文化服务;博物馆;博物馆,老河口市,丹渠博物馆,"111.792848,32.479143",111.792848,32.479143
B0HR2CU9OU,李家染坊村X044,湖北省,襄阳市,科教文化服务;博物馆;博物馆,老河口市,老爷车博物馆,"111.774435,32.275181",111.774435,32.275181
B0I64SY7U3,石花镇凉水井村,湖北省,襄阳市,科教文化服务;博物馆;博物馆,谷城县,谷城县崇朴文博馆,"111.453530,32.280292",111.45353,32.280292
B02C60QH6O,韦家巷附近,湖北省,襄阳市,科教文化服务;博物馆;博物馆,枣阳市,枣阳市博物馆,"112.762380,32.130966",112.76238,32.130966
B02C60QEAL,中码头街9号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,谷城县,谷城县博物馆,"111.655101,32.261167",111.655101,32.261167
B02C60QEBC,北京路288号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,老河口市,老河口市博物馆,"111.680930,32.389065",111.68093,32.389065
B0FFG7KQRY,[],湖北省,襄阳市,科教文化服务;博物馆;博物馆,谷城县,农家博物馆,"111.472138,32.099414",111.472138,32.099414
B0FFKG9R4B,沿堤街173号,湖北省,襄阳市,科教文化服务;博物馆;博物馆,宜城市,襄阳宝耕民间艺术馆,"112.268731,31.706260",112.268731,31.70626
B02CB01HUI,[],咸宁市博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,咸安区,114.317216,29.858759
B02CB002MG,[],赤壁市博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,赤壁市,113.896055,29.717575
B0GD5H3VEB,[],恒大养生谷博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,咸安区,114.31944,29.983321
B0HADSD04M,[],咸宁市非物质文化遗产馆(暂停营业),科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,咸安区,114.314653,29.857475
B0FFGBI9HP,[],咸宁地质博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,咸安区,114.333382,29.807524
B0H0KSPXSE,[],通城县博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,通城县,113.827375,29.245359
B0JBL1RL2X,[],雀寨自然博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,通山县,114.431633,29.650311
B0FFL54DHI,[],旗黄中药博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,通山县,114.46113,29.613079
B0IBG5R8VW,[],长江乌木文化博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,嘉鱼县,113.985825,30.27414
B0FFLG0WAJ,[],中国青砖茶博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,赤壁市,113.751493,29.539096
B0I63HWHHQ,[],田野农博馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,嘉鱼县,113.962,29.921709
B0IRGD9WLD,[],崇阳县博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,崇阳县,114.015687,29.548313
B0FFL06PH7,[],崇宁宝堂民间收藏博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,崇阳县,114.053165,29.539118
B0G057J9WD,[],罗托文化博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,通城县,113.949364,29.335875
B0FFM1Y3NW,309,咸宁职业技术学院校史博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,咸安区,114.313093,29.829183
B0FFG9VSNF,[],通山县博物馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,通山县,114.482616,29.618297
B02CB0NO91,324,通城县文化馆,科教文化服务;博物馆;博物馆,140100,湖北省,咸宁市,通城县,113.81458,29.244601
B02C70LUAY,寒溪路7号,湖北省,鄂州市,科教文化服务;博物馆;博物馆,鄂城区,鄂州博物馆,"114.876373,30.410177",114.876373,30.410177
B0HDSD7B2F,燕矶大道与龙山路交叉口西380米,湖北省,鄂州市,科教文化服务;博物馆;博物馆,鄂城区,鄂州市鄂城区嵩山百节龙博物馆,"115.004189,30.389703",115.004189,30.389703
B0FFG9DSCT,土家女儿城12栋,湖北省,恩施土家族苗族自治州,科教文化服务;博物馆;博物馆,恩施市,土家民俗博物馆,"109.502986,30.270710",109.502986,30.27071
